split_seed,inner_validation_fold,training_patients,feature,descriptive_name,falls_class,class_label,class_patients,observed_n,missing_n,mean,standard_deviation,median,q1,q3
0,2,582,NHY_COMBINED_MAX,"Hoehn–Yahr stage, combined states",1,rare fall,127,127,0,2.2913385826771653,0.7027184879742616,2.0,2.0,3.0
0,2,582,NHY_COMBINED_MAX,"Hoehn–Yahr stage, combined states",2,recurrent fall,57,57,0,2.807017543859649,0.8951974341536552,3.0,2.0,3.0
0,2,582,NP3TOT_COMBINED_MAX,"MDS-UPDRS Part III motor total, combined states",0,no fall,398,398,0,31.530150753768844,12.897692585599629,30.0,22.0,39.0
0,2,582,NP3TOT_COMBINED_MAX,"MDS-UPDRS Part III motor total, combined states",1,rare fall,127,127,0,39.330708661417326,14.867165867184799,39.0,26.5,48.0
0,2,582,NP3TOT_COMBINED_MAX,"MDS-UPDRS Part III motor total, combined states",2,recurrent fall,57,57,0,43.333333333333336,14.316989574494722,42.0,33.0,53.0
0,2,582,NP4TOT,MDS-UPDRS Part IV complications total,0,no fall,398,291,107,3.357388316151203,3.8213698641123135,2.0,0.0,6.0
0,2,582,NP4TOT,MDS-UPDRS Part IV complications total,1,rare fall,127,105,22,5.152380952380953,4.537834438577655,4.0,1.0,8.0
0,2,582,NP4TOT,MDS-UPDRS Part IV complications total,2,recurrent fall,57,54,3,8.481481481481481,4.58356679413035,9.0,6.0,11.0
0,2,582,NP1CNST,Constipation severity,0,no fall,398,398,0,1.1256281407035176,1.0572034219950988,1.0,0.0,2.0
0,2,582,NP1CNST,Constipation severity,1,rare fall,127,127,0,1.7401574803149606,1.055692042827282,2.0,1.0,3.0
0,2,582,NP1CNST,Constipation severity,2,recurrent fall,57,57,0,2.0526315789473686,1.1405050984976999,2.0,1.0,3.0
0,3,583,Years_since_PD_diagnosis,Years since PD diagnosis,0,no fall,399,399,0,4.790285089863605,4.016515350719384,3.162217659137577,2.1711156741957565,6.123203285420945
0,3,583,Years_since_PD_diagnosis,Years since PD diagnosis,1,rare fall,128,128,0,7.139758726899384,4.812222754067538,6.206707734428473,2.6447638603696095,12.101984941820671
0,3,583,Years_since_PD_diagnosis,Years since PD diagnosis,2,recurrent fall,56,56,0,10.07592646915029,4.062495357531048,11.623545516769337,7.4401095140314855,13.164271047227926
0,3,583,Age,Age at landmark,0,no fall,399,399,0,65.72681704260651,9.831651156669592,66.0,60.0,72.0
0,3,583,Age,Age at landmark,1,rare fall,128,128,0,70.78125,8.76278593387027,72.5,66.0,76.25
0,3,583,Age,Age at landmark,2,recurrent fall,56,56,0,69.51785714285714,9.461868105820756,72.0,64.5,75.0
0,3,583,MCATOT,MoCA total score,0,no fall,399,399,0,27.18546365914787,2.491329532045865,27.0,26.0,29.0
0,3,583,MCATOT,MoCA total score,1,rare fall,128,128,0,25.453125,4.299531882594757,26.5,24.0,28.0
0,3,583,MCATOT,MoCA total score,2,recurrent fall,56,56,0,25.339285714285715,4.940654302323218,27.0,22.75,29.0
0,3,583,FRZGT12M,Freezing of gait severity,0,no fall,399,379,20,0.316622691292876,0.7594297447135588,0.0,0.0,0.0
0,3,583,FRZGT12M,Freezing of gait severity,1,rare fall,128,115,13,0.7043478260869566,0.9730933948746857,0.0,0.0,1.0
0,3,583,FRZGT12M,Freezing of gait severity,2,recurrent fall,56,53,3,1.8867924528301887,1.4366143071939153,2.0,0.0,3.0
0,3,583,SCAU14,Lightheaded after standing,0,no fall,399,399,0,0.5914786967418546,0.7131412349790497,0.0,0.0,1.0
0,3,583,SCAU14,Lightheaded after standing,1,rare fall,128,128,0,0.8125,0.8580329087167606,1.0,0.0,1.0
0,3,583,SCAU14,Lightheaded after standing,2,recurrent fall,56,56,0,1.375,0.9450829689407265,1.0,1.0,2.0
0,3,583,SCAU16,Fainting,0,no fall,399,399,0,0.09273182957393483,0.30723651662873913,0.0,0.0,0.0
0,3,583,SCAU16,Fainting,1,rare fall,128,128,0,0.1640625,0.4306622578250393,0.0,0.0,0.0
0,3,583,SCAU16,Fainting,2,recurrent fall,56,56,0,0.25,0.5477225575051661,0.0,0.0,0.0
0,3,583,GDS_TOTAL,GDS-15 depression total,0,no fall,399,399,0,2.293233082706767,2.478394950560359,2.0,1.0,3.0
0,3,583,GDS_TOTAL,GDS-15 depression total,1,rare fall,128,128,0,3.3125,3.078372614346078,2.5,1.0,4.25
0,3,583,GDS_TOTAL,GDS-15 depression total,2,recurrent fall,56,56,0,4.589285714285714,3.774444140721726,3.0,2.0,6.0
0,3,583,NQ_GAUSSIAN_REVISION,Neuro-QoL Gaussian mobility score (8 items),0,no fall,399,379,20,1.7614773114453395,1.1792557918260216,1.2569656818394228,0.9132940800774956,2.1738198823434844
0,3,583,NQ_GAUSSIAN_REVISION,Neuro-QoL Gaussian mobility score (8 items),1,rare fall,128,115,13,2.7302610633041304,1.5130137204902876,2.403330879323692,1.6006372836013505,3.6638566815896816
0,3,583,NQ_GAUSSIAN_REVISION,Neuro-QoL Gaussian mobility score (8 items),2,recurrent fall,56,52,4,3.637923776130473,1.8283066859607795,3.2625098837285105,2.2879804871252047,5.06857047410378
0,3,583,NP1RTOT,MDS-UPDRS Part I rater total,0,no fall,399,399,0,3.1679197994987467,2.637071131834661,3.0,1.0,5.0
0,3,583,NP1RTOT,MDS-UPDRS Part I rater total,1,rare fall,128,128,0,4.7109375,3.1651456752682474,4.0,2.75,6.0
0,3,583,NP1RTOT,MDS-UPDRS Part I rater total,2,recurrent fall,56,56,0,6.589285714285714,3.850746259265437,7.0,3.0,9.0
