sensitivity_id,split_seed,system,macro_f1,weighted_f1,accuracy,balanced_accuracy,macro_auc_ovr,recall_no_fall,recall_rare_fall,recall_recurrent_fall
S03_COHORT_1043,4,two_stage,0.5132683948401175,0.6314621212428878,0.6185897435897436,0.5528495510353674,0.7521455475763138,0.705607476635514,0.35294117647058826,0.6
S03_COHORT_1043,5,direct,0.5161868686868687,0.6202578671328671,0.5961538461538461,0.5553234377863294,0.7684762568701667,0.6542056074766355,0.4117647058823529,0.6
S03_COHORT_1043,5,two_stage,0.4703471150659811,0.6175044714354367,0.5961538461538461,0.4755512797019119,0.7584723579484498,0.6962616822429907,0.39705882352941174,0.3333333333333333
S03_COHORT_1043,6,direct,0.4955229322235708,0.6241546966895987,0.5993589743589743,0.5372946063160466,0.7488623820187721,0.677570093457944,0.36764705882352944,0.5666666666666667
S03_COHORT_1043,6,two_stage,0.5061453959516836,0.6399942459008829,0.625,0.5459318306761958,0.7414682593870922,0.7289719626168224,0.3088235294117647,0.6
S03_COHORT_1043,7,direct,0.5255312001343747,0.6495427705745166,0.6282051282051282,0.5522723107934763,0.7613345792966197,0.7009345794392523,0.45588235294117646,0.5
S03_COHORT_1043,7,two_stage,0.48717269182738443,0.6352171593760261,0.625,0.498643943558732,0.7409756227570231,0.7429906542056075,0.35294117647058826,0.4
S03_COHORT_1043,8,direct,0.5000728066982162,0.6296995323569768,0.6153846153846154,0.5412589334799341,0.7060149196616646,0.7149532710280374,0.3088235294117647,0.6
S03_COHORT_1043,8,two_stage,0.49105154368312265,0.6379954801007433,0.625,0.5268248732514813,0.7147662992274141,0.7383177570093458,0.3088235294117647,0.5333333333333333
S03_COHORT_1043,9,direct,0.5081873331629623,0.646617370808924,0.625,0.5344725429112455,0.7567049493680571,0.7102803738317757,0.4264705882352941,0.4666666666666667
S03_COHORT_1043,9,two_stage,0.48589888007313814,0.6474078772877627,0.6378205128205128,0.4838617066764401,0.7499283670669507,0.7476635514018691,0.47058823529411764,0.23333333333333334
